index,time,dTLB-load-misses,L1-icache-load-misses,instructions:u,cache-misses:u,branch-misses:u,iTLB-load-misses,L1-dcache-load-misses,LLC-load-misses,dTLB-store-misses,cpu-cycles:u,branch-load-misses,LLC-store-misses,cpi
146,29.446230247,15051,1759417,399580218,1098503,2165,1379,37208150,879443,5461,314661137,2171,286155,0.787479266553681
147,29.646541404,40394,2470247,362463023,1863113,2166,1189,39169190,1986552,1934,316859197,2297,104560,0.874183508092631
148,29.846812506,52093,206065,342681839,3185183,3629,804,49282624,3037528,56,316222816,3345,3920,0.922788371052252
149,30.047091115,69133,52818,429405158,3779909,3910,1839,56606647,3695424,31,316894510,3971,3342,0.73798487068942
150,30.247392647,43031,532759,275377451,2412298,3384,69,39331080,2409281,98,316302202,3357,1030,1.14861329731751
151,30.447664679,127786,269921,382946207,2127997,9186,809,33524468,1800054,13508,316353522,17833,1191,0.82610433584997
152,30.64792249,44726,9795,335498689,1905947,11038,275,44204069,1684149,23507,316867592,17911,179247,0.944467452151504
153,30.848214538,130516,37555,373913673,3116343,5192,153,44323791,3023732,145096,316952566,7432,386439,0.847662412173946
154,31.04849524,14566,1053462,438323784,1420065,2636,1301,37227640,943957,5594,317249032,2456,301265,0.723777818088922
155,31.248772717,16393,354900,482282331,1255364,2583,2263,41259298,936161,6076,317632721,2557,318807,0.658603271534739
156,31.449058451,16896,343313,482446123,1251312,1319,1391,41299836,958128,6137,317764897,1320,316086,0.658653644108567
157,31.649338331,15459,345772,461299098,1255662,1346,1293,41229582,943792,5538,317663848,1343,316614,0.688628808027715
158,31.849613545,16394,366474,462808332,1265205,1332,1179,41300930,927515,5856,317602128,1305,317399,0.686249805891567
159,32.049913083,63246,108705,433679365,3341982,3591,1602,54131767,3086271,406,316994557,5277,82017,0.730942218106227
160,32.250190042,69427,38151,430608319,3829287,3821,1486,58584078,3859684,21,316946243,3861,6438,0.736043009424535
161,32.450467261,67445,34424,431289073,3861539,3877,1689,58371142,3769251,21,316927604,3867,950,0.734838009679879
162,32.65077347,129372,23299,467674633,2688702,25374,723,42538806,1851487,2813,316847582,26428,33915,0.677495762315593
163,32.851037281,40753,13082,348426253,2369022,10065,162,47596355,2373219,18855,316839749,9593,204631,0.909345223765329
164,33.051300926,145637,23226,465690326,2641557,7669,2672,43541747,2569956,24452,316970113,11433,366498,0.680645689427527
165,33.251626079,22380,443732,498538553,1408290,2271,325,37436347,1279986,2866,316818712,2031,159128,0.635494908254367
166,33.45187701,21745,226690,500504896,1576449,3725,2121,36787897,1409737,3007,317446148,3763,168919,0.634251833572473
167,33.652127548,22498,22609,516572555,1445875,3754,1993,38829678,1285912,3050,317533510,3819,162759,0.61469295440986
168,33.852382075,9907,17454,291240387,926203,62109,1252,26049206,388841,34828,317048864,35712,219924,1.08861572141779
169,34.052622573,20062,791089,492194116,2051196,1827,1115,35435066,1522290,214264,317116803,14064,212016,0.644292145499764
170,34.252870212,16545,352588,473099055,1224007,1399,303,41386973,905632,6090,317450448,1377,317669,0.671002075876055
171,34.453135787,16824,387611,470819999,1395920,1340,287,40532480,952834,6233,317518449,1332,360480,0.674394566234218
172,34.653385644,16689,360895,483137306,1258306,1332,1035,41059580,963860,6073,316804422,1401,362638,0.655723369041595
173,34.853612495,17227,355619,477468809,1254624,1371,185,41046873,880510,6213,317442131,1382,300603,0.664843702910864
174,35.053857483,47585,196166,455067195,2597177,2570,1588,51827856,2959082,2738,317050353,2609,97113,0.696711071427594
175,35.254088976,70083,38751,430307299,3856305,3793,1764,58731716,3858417,22,316800692,3791,6228,0.736219656827155
176,35.454316075,69279,45096,426722990,3862626,3893,2074,58373000,3829941,31,316485485,3973,3954,0.741664949901106
177,35.654570934,85709,37416,470777157,2771412,14121,1802,47606371,3285223,43,316679452,14420,10314,0.672673784807278
178,35.854862412,42759,18970,286263423,1887580,9928,612,39601780,1644961,23106,316536043,9869,161639,1.10575091879622
179,36.055153184,41856,16043,428781643,3470104,7678,1063,42120494,3316541,16097,316799524,4867,307154,0.738836489788813
180,36.255507587,16928,1033134,419963550,1177073,1367,697,40574598,859862,141006,317091567,2748,287476,0.755045448587145
181,36.455779718,16772,355274,481231111,1242255,1349,106,41281259,918304,6196,317588597,1338,319939,0.659950260364609
182,36.65603262,16768,384697,473540053,1377056,1862,1207,40377569,1050772,6574,317608697,1866,424881,0.670711368527046
183,36.856265971,15249,1479332,432448650,1139856,1327,143,37708016,824587,5540,317339906,1282,286791,0.733821012043858
184,37.056482986,11987,3727327,347547060,961516,1101,257,29803342,725287,4617,316911213,1094,229595,0.911851226708694
185,37.256753949,13403,3941775,302593145,1050854,2415,133,29232555,1079994,3887,316778561,957,163590,1.04687950217775
186,37.456994047,55565,301865,339238942,3131353,3647,1066,49031431,3141004,74,316309846,3517,3131,0.932410188922237
187,37.657275157,66805,177933,410769692,3527215,3916,2050,53644268,3449112,20,316511608,3987,1708,0.770533011963307
