index,time,cache-misses:u,dTLB-store-misses,branch-misses:u,iTLB-load-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,branch-load-misses,cpu-cycles:u,instructions:u,dTLB-load-misses,LLC-store-misses,cpi
207,41.645880129,5149026,4297,290698,16060,5226459,113681,10107970,519264,414839499,301098556,621849,4824,1.37775319985261
208,41.846090997,5035899,3058,282141,18050,5085718,169314,9593133,201681,411083144,238137455,639639,4091,1.72624312290563
209,42.046302756,5183081,2961,287517,13437,5082779,137344,9397083,185738,413830895,270836233,664678,3845,1.52797463772139
210,42.246529937,5183589,3425,211309,13915,5201972,101065,9024052,295101,392722604,256350763,650919,4849,1.53197361070464
211,42.44675229,5036858,3701,334744,14980,4997544,176943,8585455,437849,442536288,324746868,585706,5878,1.3627114888757
212,42.647033321,4867748,2581,207786,18081,5038431,211697,7126365,202719,448850660,208675105,522211,7894,2.15095451850857
213,42.847274135,5409384,2494,239023,13684,5160486,160837,9109602,230708,427010666,219579870,648059,3974,1.94467127610559
214,43.047487709,5273795,2915,347841,12923,5269563,122070,8844480,314253,414440441,290351901,650060,4109,1.42737292083374
215,43.247738769,5061447,2631,280230,11356,5084267,128512,10502592,170457,398669072,277749247,668634,4854,1.43535608577185
216,43.447955278,5155521,3691,254392,14041,5028603,163326,9122923,361305,396633868,279425077,626219,4517,1.41946410915725
217,43.648191913,5107540,3175,237671,12496,5023698,110389,8339974,255311,396644365,282379724,655783,3377,1.40464888690096
218,43.848415364,5110121,2764,301281,13584,5176098,120548,8664368,203298,391560569,273745929,652024,4433,1.43037951442924
219,44.048617606,5223069,3534,310906,15896,5161026,132067,8972454,354881,409260169,300327020,635025,4691,1.36271511301248
220,44.248832118,5149020,3544,280596,13063,5187210,113990,9566908,324525,402591539,301709304,631998,3748,1.33436898916448
221,44.449031267,5138528,2686,279995,13174,5106579,151477,9689579,228813,403695378,267212042,627976,4513,1.51076790917978
222,44.649236913,5332455,2768,344337,13588,5240929,106949,8864243,307371,398849371,300211752,665135,3003,1.32856015243534
223,44.849456535,5128952,3087,276573,13546,5061448,116863,10048049,207371,393701695,278158948,632066,4873,1.4153838941036
224,45.049663127,1154935,14918,1216253,52488,508645,2116027,22419705,1178812,468105866,592195151,526350,14003,0.790458795904595
225,45.249866582,916279,26089,1419103,61499,923937,1195061,23377542,1378224,504292164,606245324,1333062,16470,0.831828542070536
226,45.450091295,2118365,20611,1065030,56088,1814679,867063,19229642,1082327,484872235,457628484,1368189,16605,1.05953246345566
227,45.65029885,2561016,19773,1030666,40420,2444181,648269,17606737,979351,470648382,440989523,1282111,17942,1.06725524633382
228,45.850514544,2993605,17235,941656,43264,2871347,528129,16604847,939029,457964366,413697628,1215221,15449,1.10700263913527
229,46.050736594,3341552,13863,909152,40872,3401215,538120,14880777,923309,457216778,398490737,1166988,14378,1.14737115708665
230,46.250961043,3543872,12181,875749,44068,3636028,435753,14560517,867737,453072600,378580998,1073224,15024,1.19676529565279
231,46.451172796,3961233,12251,775261,38145,3738613,422947,13671733,749436,449809392,333303240,1069873,13252,1.34955001337521
232,46.651399401,3939009,12132,786628,41212,3985393,388669,13752827,777356,435255629,345022330,1086826,11910,1.26152886684175
