index,time,branch-misses:u,cpu-cycles:u,LLC-store-misses,cache-misses:u,iTLB-load-misses,branch-load-misses,instructions:u,dTLB-load-misses,dTLB-store-misses,LLC-load-misses,L1-icache-load-misses,L1-dcache-load-misses,cpi
156,31.440512658,1556561,428519945,276256,3782242,12731,1549323,300486125,2095549,218182,3480712,174538,11109996,1.42608895835041
157,31.640738518,1560265,426440822,265837,3746796,14165,1578626,300390853,2118046,204481,3516320,180135,11126565,1.41961986439048
158,31.840939892,1561613,438325047,253163,3753278,16532,1573406,302081555,2154054,197974,3507779,173188,11131617,1.45101559411663
159,32.041163909,1539519,423642330,272415,3761385,12433,1521528,295057564,2067496,229062,3482972,175048,11037506,1.43579552497085
160,32.241372912,1530046,422252373,264248,3794106,13954,1522888,294618709,2071605,222447,3469931,177691,10988942,1.43321642550542
161,32.441638234,1541304,425156649,280261,3773692,15391,1540621,297874746,2078888,230627,3463153,175005,10995974,1.42730008068559
162,32.641873119,1544850,432589449,278155,3796299,15961,1557091,298996868,2046926,222663,3451040,188073,10967513,1.44680260998587
163,32.842092148,1563129,421678483,278005,3751145,10122,1560667,297092276,2065273,212126,3473503,191537,10946920,1.41935188850214
164,33.042300738,1567595,422138818,264562,3737928,11566,1565850,297534566,2043271,218369,3461705,181191,11066386,1.41878916347488
165,33.2425305,1515220,420352157,271883,3724979,15736,1540344,294478141,2050145,227132,3435951,195635,10785928,1.42744774050988
166,33.442783277,1557258,433395905,271747,3785595,16089,1569671,302624189,2088315,215634,3503441,180990,11156480,1.43212578753908
167,33.643012551,1564135,422497097,251652,3705439,11313,1553679,299708644,2074946,212247,3434783,189823,10963516,1.40969273145155
168,33.843279204,1572941,431611897,260239,3734615,10495,1589695,304305209,2084043,206907,3450659,191383,11080759,1.41835198424093
169,34.043510507,1535647,419854777,258539,3778495,15241,1525989,297238590,2074037,230458,3501511,185940,11105466,1.41251772523884
170,34.243742449,1561983,429727686,271257,3738455,15649,1545118,301200269,2021042,233922,3459901,185254,10944306,1.42671747082669
171,34.444000267,1555252,427870625,269818,3733231,12508,1564741,302254954,2077276,214617,3437247,185138,10887357,1.41559507739284
172,34.644223491,1564100,429621878,269806,3729667,12890,1554242,302447631,2057988,220845,3409617,185957,10898211,1.42048352827072
173,34.84444411,1593361,429871296,243676,3728330,12572,1595115,305116176,2115582,200220,3452875,193572,11121080,1.40887743690128
174,35.044683893,1594076,438723183,235824,3656851,17744,1553735,302023348,2008704,186555,3282035,266523,10891461,1.45261346814816
175,35.244929274,1562365,422739299,245780,3713483,11122,1567441,303096432,2094664,204944,3481593,190713,11057849,1.39473531974801
176,35.445151677,1559658,429055494,255661,3745687,13139,1559772,304254548,2116154,199786,3497218,193956,11200741,1.41018596704757
177,35.645389395,1571649,428558936,266854,3747354,14550,1579530,303807272,2064322,219558,3454151,193711,11044581,1.41062764290909
178,35.845604996,1604051,432615503,243623,3716705,11922,1590511,307731434,2081930,197560,3429924,189186,11169872,1.40582161976992
179,36.045824114,1585155,423472581,246489,3683989,11664,1588339,302496971,2076721,203300,3408670,207012,10996805,1.39992337642283
180,36.246067904,1618157,425602864,247443,3710469,12925,1601523,305564889,2118929,194836,3504433,200881,11256053,1.39283955493983
181,36.446312281,1596254,424912394,228187,3662362,13400,1602236,306487938,2121225,191120,3466337,197121,11297555,1.38639189774574
182,36.646537897,1581912,425427761,251180,3728254,11717,1569238,305484221,2080305,211629,3445873,190948,11153220,1.39263415834496
183,36.846789223,1571578,435695188,266875,3759020,13219,1577494,304855529,2067852,228224,3446521,183786,10959862,1.42918578327638
184,37.04702422,1576467,433604955,245167,3704503,15006,1575027,303918979,2073471,199960,3389520,200828,11156108,1.4267123311177
185,37.247258486,1589286,425137271,220238,3679959,11698,1591634,309309787,2101714,189530,3423115,203050,11075676,1.37447080198597
186,37.447509378,1592683,420807397,230726,3638990,15424,1592197,304998063,2092800,191166,3414010,202381,11192176,1.37970514586514
187,37.647737696,1592750,424263610,222491,3615546,10758,1599189,307561308,2095451,188335,3397795,199506,11132416,1.37944402941608
188,37.847997148,1597514,423063788,240404,3680171,16132,1599532,305667933,2091514,197642,3430650,195653,11150343,1.38406336525984
189,38.048258751,1559785,431795026,264667,3722188,12163,1581470,303736572,2087992,228537,3434088,182808,10967825,1.42161025640337
190,38.248480352,1548714,425738157,252406,3758197,10026,1550633,302910165,2062887,205422,3457421,185402,11036942,1.40549313358302
191,38.448706858,1620890,425090087,223559,3634464,14543,1609564,307358877,2086537,186007,3417393,201839,11049565,1.38304151534234
192,38.648969639,1615492,426550362,226365,3665747,10211,1597352,307494631,2084158,192012,3382389,206623,11141129,1.38717986916656
193,38.849185224,1587700,430401128,232675,3700022,12218,1595914,307564564,2098495,196165,3416352,198523,11187735,1.39938464432463
194,39.049407631,1583398,419584017,220732,3612951,13641,1597111,306769393,2084797,189154,3384041,189817,11069169,1.36775058586109
195,39.249646256,1584152,429911158,236617,3708370,14241,1568195,304778429,2096274,197619,3444017,199462,11173194,1.41056950588849
196,39.449874954,1583271,425688335,237568,3670655,11289,1589299,305908821,2053733,202320,3403162,192573,11106311,1.39155299153665
197,39.650102683,1596943,422995893,222804,3646217,13537,1600215,305366622,2081675,190754,3383626,196035,11054935,1.38520670736568
198,39.850343862,1588308,420063885,233808,3665603,11016,1571420,306499823,2076166,206329,3419486,198140,11086193,1.3705191764499
199,40.050572916,1561622,423937791,250128,3692774,11165,1565432,305289960,2037497,210887,3422698,196689,11028352,1.38863980656291
200,40.250801647,1609064,431712450,228627,3628586,13417,1617697,311165941,2084014,187785,3378314,208247,11059739,1.38740264635839
201,40.451048147,1612573,424045125,222580,3637098,10363,1600067,308988038,2088080,191194,3363135,191336,11128218,1.37236744744144
202,40.65127421,1577238,434291315,251216,3730294,14884,1586388,306491061,2114309,204466,3489914,190024,11225092,1.41697873204857
203,40.851502989,1541076,427661843,268635,3745017,16834,1541568,301084838,2071042,222877,3466736,190740,11013254,1.42040311907038
204,41.051751788,1595689,428348531,242305,3678908,15891,1595604,306270368,2093810,200486,3409384,197659,10947738,1.39859606333186
205,41.251987656,1620522,424910539,222755,3586974,13278,1621748,309851504,2070368,186953,3365973,203686,10903916,1.37133605457665
206,41.452210535,1632563,430755770,220693,3611238,13232,1620343,308257384,2088654,191711,3351559,205248,10975853,1.39738994865408
207,41.652450597,1593651,420065687,219525,3609445,13757,1605769,307105106,2064668,186571,3369034,192746,11080704,1.3678238452994
208,41.852679493,1608124,428773349,218678,3644853,13106,1603324,308487427,2080181,187377,3364983,204882,11033730,1.38992163528272
209,42.052905322,1617865,425975328,217240,3634806,12684,1606298,309280662,2082949,192730,3403644,216156,11210989,1.37730993346102
210,42.253147405,1602239,435812354,229618,3674727,21084,1527010,297384647,1973093,182586,3421200,216303,11022296,1.46548370400574
211,42.453380503,1619308,428544619,218937,3608740,10115,1615289,309388925,2084604,191359,3396104,205402,11068756,1.38513238313233
212,42.653604383,1615410,419478509,221951,3588428,15318,1613663,308252763,2075725,193679,3396013,206232,11129282,1.36082643645274
213,42.853849816,1628706,428645481,208130,3611851,12483,1651610,313263501,2041964,184914,3330521,219938,10910502,1.36832244941296
214,43.054084051,1616078,426966628,237865,3671638,8365,1598166,304661773,2064163,198649,3399170,191563,11106686,1.40144470307405
215,43.254313613,1576532,422563506,225841,3532125,14797,1618680,302115115,2103085,200770,3318454,371638,11015483,1.39868376330658
216,43.454547277,1618573,430579072,218748,3638861,15145,1632203,312035004,2078291,198551,3389789,214936,11150396,1.37990631333144
217,43.654804066,1626171,429031112,215674,3603599,9627,1625062,310910780,2089644,189920,3370831,207776,11146303,1.37991713249698
218,43.855041353,1619757,427391520,219548,3611481,17028,1630841,307583601,2071737,194026,3413065,204043,11208347,1.38951335055083
219,44.055279388,1606778,423292354,230981,3657142,15913,1598357,307720145,2099430,201706,3450081,197080,11309837,1.37557570044691
220,44.255539446,1517793,429981019,269231,3602270,13031,1556568,290779854,2067288,212985,3450043,348992,11023191,1.47871667546817
221,44.45578067,1572180,423662945,257023,3740178,10694,1568570,299600931,2083068,204245,3465765,186875,10975895,1.41409088278167
222,44.656020881,1552451,427432381,260038,3759932,10057,1550782,301589344,2066018,202985,3477437,185877,11068193,1.41726619160656
