index,time,dTLB-load-misses,cache-misses:u,branch-load-misses,L1-icache-load-misses,branch-misses:u,L1-dcache-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-store-misses,instructions:u,cpu-cycles:u,LLC-load-misses,cpi
134,27.025922541,125686,359236,5800845,259333,5855069,2138273,369,1989,181,850896313,513644872,364016,0.60365154267627
135,27.226114482,131969,355579,5915027,272853,5873358,2171508,325,2045,100,849355172,513437306,351224,0.604502477792647
136,27.42630416,128239,370727,5342048,454033,5416701,2242577,481,2258,270,780332005,511078863,368712,0.654950533523228
137,27.626504553,123191,344498,5784020,408386,5827478,2445285,372,2037,457,863610027,516003829,355636,0.597496338471762
138,27.826696657,127697,355613,5723222,266485,5736612,2130528,384,2146,17,863143120,516182425,368259,0.598026460548049
139,28.026885759,126062,336953,5304758,243785,5317871,1998762,346,1918,81,879609406,513929659,349512,0.584270308496451
140,28.227098604,144946,379109,5209385,233634,5219433,2185376,329,2008,137,868551396,511733935,378969,0.589180948135854
141,28.427292774,155735,435162,5095852,232647,5358594,2275545,838,1811,1304,831366665,512930394,420140,0.616972529202864
142,28.627490267,137501,386372,5462877,533399,5339437,2640680,359,2139,349,849786058,516000464,374238,0.607212202580052
143,28.827685208,147737,407526,5632754,222356,5519057,2305985,344,1660,119,853012763,515187768,412659,0.603962555247254
144,29.027866771,149309,419906,5404883,210519,5414964,2384791,448,1905,133,861587852,514924805,401331,0.597646315236116
145,29.228050673,150394,416307,5440378,218669,5441368,2309653,421,2005,300,850904344,514308459,408199,0.604425706163747
146,29.428238853,153646,407224,5523570,202061,5555165,2391694,394,1776,172,851175277,514437462,407251,0.60438487336375
147,29.628442844,153373,399210,5354072,552252,5092229,2561668,456,2011,353,814984359,513411390,444970,0.629964715678672
148,29.828642381,167748,437005,5691133,229155,5597556,2386785,484,1836,528,840644826,514633620,429300,0.61218912444719
149,30.028835097,160474,414468,5558919,216548,5529322,2348730,394,1918,271,851632823,515477550,427595,0.605281450031665
150,30.229040549,155086,409906,5707512,250633,5669014,2339747,393,1954,213,834879392,515194849,399255,0.617088951933311
151,30.429231431,151246,404124,5538472,217403,5561762,2354912,288,1932,359,846204339,514912764,409258,0.608496955485358
152,30.629425433,159933,452198,5416084,273732,5407342,2343381,531,1873,450,783781786,511809701,453411,0.653000248464564
153,30.829628412,154980,423881,5553068,238801,5620525,2308897,384,1958,172,841793619,514825557,422507,0.611581681519018
154,31.029822774,155508,394684,5430815,224533,5492425,2299167,497,1953,178,860548039,515830943,413317,0.599421437993655
